airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Goair,2019-06-24,Bangalore,Delhi,2024-12-03 07:45:00,2024-12-03 10:40:00,175,0,No Info,3898
Indigo,2019-06-06,Bangalore,Delhi,2024-12-03 00:25:00,2024-12-03 03:15:00,170,0,No Info,3943
Indigo,2019-05-12,Chennai,Kolkata,2024-12-03 19:35:00,2024-12-03 21:55:00,140,0,No Info,3597
Jet Airways,2019-06-12,Kolkata,Bangalore,2024-12-03 14:05:00,2024-06-13 16:20:00,1575,1,In-flight meal not included,8529
Indigo,2019-04-24,Bangalore,Delhi,2024-12-03 23:30:00,2024-04-25 02:20:00,170,0,No Info,3943
Indigo,2019-04-24,Delhi,Cochin,2024-12-03 07:35:00,2024-12-03 12:10:00,275,1,No Info,5073
Indigo,2019-05-18,Bangalore,Delhi,2024-12-03 20:00:00,2024-12-03 22:50:00,170,0,No Info,4823
Indigo,2019-06-12,Mumbai,Hyderabad,2024-12-03 12:00:00,2024-12-03 13:30:00,90,0,No Info,2754
Multiple Carriers,2019-05-27,Delhi,Cochin,2024-12-03 06:40:00,2024-12-03 19:15:00,755,1,No Info,8837
Jet Airways,2019-05-09,Kolkata,Bangalore,2024-12-03 17:00:00,2024-05-10 21:05:00,1685,1,No Info,13067
Air India,2019-05-27,Delhi,Cochin,2024-12-03 22:00:00,2024-05-28 19:15:00,1275,2,No Info,10231
Indigo,2019-05-09,Bangalore,Delhi,2024-12-03 18:55:00,2024-12-03 21:50:00,175,0,No Info,4823
Air India,2019-06-01,Delhi,Cochin,2024-12-03 18:45:00,2024-06-02 19:15:00,1470,2,No Info,12940
Jet Airways,2019-05-24,Kolkata,Bangalore,2024-12-03 18:55:00,2024-05-25 22:35:00,1660,1,In-flight meal not included,10844
Indigo,2019-03-12,Mumbai,Hyderabad,2024-12-03 06:20:00,2024-12-03 07:45:00,85,0,No Info,4049
Jet Airways,2019-03-06,Mumbai,Hyderabad,2024-12-03 14:00:00,2024-03-07 16:50:00,1610,1,No Info,19595
Jet Airways,2019-05-27,Bangalore,Delhi,2024-12-03 11:10:00,2024-12-03 14:05:00,175,0,In-flight meal not included,4030
Jet Airways,2019-06-27,Delhi,Cochin,2024-12-03 02:15:00,2024-12-03 12:35:00,620,1,In-flight meal not included,10262
Indigo,2019-04-15,Bangalore,Delhi,2024-12-03 16:55:00,2024-12-03 19:55:00,180,0,No Info,4823
Indigo,2019-06-06,Delhi,Cochin,2024-12-03 07:35:00,2024-12-03 16:10:00,515,1,No Info,6674
Air India,2019-03-01,Mumbai,Hyderabad,2024-12-03 19:30:00,2024-12-03 20:45:00,75,0,No Info,15385
Indigo,2019-06-01,Mumbai,Hyderabad,2024-12-03 20:05:00,2024-12-03 21:40:00,95,0,No Info,2227
Goair,2019-05-21,Delhi,Cochin,2024-12-03 10:35:00,2024-12-03 19:35:00,540,1,No Info,6195
Air India,2019-05-01,Kolkata,Bangalore,2024-12-03 10:00:00,2024-12-03 16:15:00,375,1,No Info,10203
Vistara,2019-05-24,Kolkata,Bangalore,2024-12-03 07:10:00,2024-12-03 18:50:00,700,1,No Info,9555
Jet Airways,2019-05-18,Delhi,Cochin,2024-12-03 13:25:00,2024-05-19 12:35:00,1390,2,No Info,15129
Jet Airways,2019-06-12,Delhi,Cochin,2024-12-03 20:55:00,2024-06-13 12:35:00,940,1,In-flight meal not included,10262
Indigo,2019-03-18,Kolkata,Bangalore,2024-12-03 10:10:00,2024-12-03 12:55:00,165,0,No Info,4462
Jet Airways,2019-06-03,Bangalore,Delhi,2024-12-03 17:45:00,2024-12-03 20:45:00,180,0,No Info,8016
Jet Airways,2019-06-12,Kolkata,Bangalore,2024-12-03 18:55:00,2024-06-13 20:45:00,1550,1,In-flight meal not included,8529
Jet Airways,2019-05-27,Delhi,Cochin,2024-12-03 09:40:00,2024-05-28 12:35:00,1615,2,No Info,15129
Indigo,2019-03-15,Bangalore,Delhi,2024-12-03 05:25:00,2024-12-03 10:10:00,285,1,No Info,8021
Indigo,2019-06-09,Delhi,Cochin,2024-12-03 11:25:00,2024-12-03 21:00:00,575,1,No Info,6416
Air India,2019-03-15,Mumbai,Hyderabad,2024-12-03 15:00:00,2024-12-03 16:25:00,85,0,No Info,2050
Goair,2019-05-15,Bangalore,Delhi,2024-12-03 11:40:00,2024-12-03 14:30:00,170,0,No Info,3398
Air India,2019-06-27,Delhi,Cochin,2024-12-03 05:55:00,2024-12-03 19:15:00,800,2,No Info,11386
Multiple Carriers,2019-06-24,Delhi,Cochin,2024-12-03 04:55:00,2024-12-03 19:15:00,860,1,No Info,7155
Jet Airways,2019-05-21,Kolkata,Bangalore,2024-12-03 09:35:00,2024-12-03 19:10:00,575,1,In-flight meal not included,12384
Jet Airways,2019-03-24,Mumbai,Hyderabad,2024-12-03 07:10:00,2024-12-03 08:35:00,85,0,No Info,5678
Vistara,2019-04-18,Bangalore,Delhi,2024-12-03 21:00:00,2024-12-03 23:50:00,170,0,No Info,5613
Jet Airways,2019-06-15,Delhi,Cochin,2024-12-03 22:50:00,2024-06-16 12:35:00,825,1,In-flight meal not included,10262
Air India,2019-06-12,Kolkata,Bangalore,2024-12-03 09:25:00,2024-06-13 13:45:00,1700,2,No Info,11542
Jet Airways,2019-03-09,Bangalore,Delhi,2024-12-03 05:45:00,2024-12-03 10:25:00,280,1,In-flight meal not included,11087
Jet Airways,2019-04-21,Bangalore,Delhi,2024-12-03 06:00:00,2024-12-03 08:45:00,165,0,No Info,7229
Goair,2019-06-03,Delhi,Cochin,2024-12-03 14:25:00,2024-12-03 19:35:00,310,1,No Info,9069
Jet Airways,2019-03-12,Bangalore,Delhi,2024-12-03 18:55:00,2024-03-13 09:30:00,875,1,No Info,13817
Jet Airways,2019-06-01,Delhi,Cochin,2024-12-03 13:00:00,2024-06-02 04:25:00,925,1,In-flight meal not included,10262
Indigo,2019-03-03,Delhi,Cochin,2024-12-03 07:20:00,2024-12-03 12:30:00,310,1,No Info,12214
Jet Airways,2019-03-27,Delhi,Cochin,2024-12-03 18:15:00,2024-03-28 04:25:00,610,1,In-flight meal not included,6540
Vistara,2019-05-12,Bangalore,Delhi,2024-12-03 09:45:00,2024-12-03 12:35:00,170,0,No Info,4668
Jet Airways,2019-05-21,Kolkata,Bangalore,2024-12-03 14:05:00,2024-05-22 10:05:00,1200,1,No Info,14388
Indigo,2019-05-24,Chennai,Kolkata,2024-12-03 14:45:00,2024-12-03 17:05:00,140,0,No Info,3858
Jet Airways,2019-06-06,Kolkata,Bangalore,2024-12-03 18:55:00,2024-06-07 19:50:00,1495,1,No Info,14571
Jet Airways,2019-03-09,Delhi,Cochin,2024-12-03 08:20:00,2024-03-10 04:25:00,1205,2,No Info,18909
Multiple Carriers,2019-06-09,Delhi,Cochin,2024-12-03 19:00:00,2024-06-10 01:30:00,390,1,No Info,7530
Indigo,2019-06-09,Chennai,Kolkata,2024-12-03 11:35:00,2024-12-03 14:00:00,145,0,No Info,3858
Multiple Carriers,2019-06-12,Delhi,Cochin,2024-12-03 09:00:00,2024-12-03 19:15:00,615,1,No Info,14848
Air India,2019-03-01,Bangalore,Delhi,2024-12-03 08:50:00,2024-12-03 23:25:00,875,2,1 Short layover,26743
Multiple Carriers,2019-06-03,Delhi,Cochin,2024-12-03 10:00:00,2024-12-03 19:00:00,540,1,No Info,14502
Multiple Carriers,2019-03-27,Delhi,Cochin,2024-12-03 13:05:00,2024-12-03 22:20:00,555,1,No Info,6076
Spicejet,2019-04-27,Kolkata,Bangalore,2024-12-03 17:10:00,2024-12-03 19:40:00,150,0,No check-in baggage included,3841
Multiple Carriers,2019-05-21,Delhi,Cochin,2024-12-03 15:05:00,2024-05-22 01:30:00,625,2,No Info,16655
Air Asia,2019-05-01,Kolkata,Bangalore,2024-12-03 15:10:00,2024-12-03 23:30:00,500,2,No Info,5192
Multiple Carriers,2019-06-15,Delhi,Cochin,2024-12-03 07:10:00,2024-12-03 22:30:00,920,1,In-flight meal not included,6093
Jet Airways,2019-05-06,Kolkata,Bangalore,2024-12-03 08:25:00,2024-12-03 18:15:00,590,1,In-flight meal not included,10844
Multiple Carriers,2019-03-27,Delhi,Cochin,2024-12-03 11:40:00,2024-12-03 18:50:00,430,1,No Info,11421
Jet Airways,2019-06-09,Delhi,Cochin,2024-12-03 22:50:00,2024-06-10 04:25:00,335,1,In-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Bangalore,2024-12-03 14:05:00,2024-12-03 19:50:00,345,1,No Info,14781
Jet Airways,2019-05-09,Delhi,Cochin,2024-12-03 13:00:00,2024-12-03 19:00:00,360,1,No Info,15554
Air Asia,2019-06-01,Delhi,Cochin,2024-12-03 07:55:00,2024-12-03 22:25:00,870,1,No Info,8759
Vistara,2019-05-12,Bangalore,Delhi,2024-12-03 21:00:00,2024-12-03 23:50:00,170,0,No Info,4668
Jet Airways,2019-05-27,Delhi,Cochin,2024-12-03 15:00:00,2024-05-28 19:00:00,1680,1,In-flight meal not included,12898
Jet Airways,2019-05-15,Kolkata,Bangalore,2024-12-03 20:25:00,2024-05-16 10:55:00,870,1,No Info,14151
Spicejet,2019-04-01,Mumbai,Hyderabad,2024-12-03 13:15:00,2024-12-03 14:45:00,90,0,No check-in baggage included,1965
Jet Airways,2019-06-12,Kolkata,Bangalore,2024-12-03 20:00:00,2024-06-13 08:15:00,735,1,In-flight meal not included,8529
Jet Airways,2019-05-15,Kolkata,Bangalore,2024-12-03 14:05:00,2024-12-03 20:45:00,400,1,No Info,14781
Air Asia,2019-05-12,Kolkata,Bangalore,2024-12-03 07:35:00,2024-12-03 23:30:00,955,1,No Info,5320
Jet Airways,2019-03-24,Kolkata,Bangalore,2024-12-03 19:45:00,2024-03-25 19:40:00,1435,1,No Info,13759
Indigo,2019-03-03,Chennai,Kolkata,2024-12-03 05:15:00,2024-12-03 07:35:00,140,0,No Info,6482
Multiple Carriers,2019-03-09,Delhi,Cochin,2024-12-03 08:40:00,2024-12-03 19:45:00,665,1,No Info,18492
Multiple Carriers,2019-03-21,Delhi,Cochin,2024-12-03 08:00:00,2024-12-03 19:15:00,675,1,No Info,13378
Indigo,2019-04-03,Bangalore,Delhi,2024-12-03 07:10:00,2024-12-03 10:05:00,175,0,No Info,4823
Jet Airways,2019-06-06,Kolkata,Bangalore,2024-12-03 20:00:00,2024-06-07 12:00:00,960,1,No Info,14571
Indigo,2019-03-21,Mumbai,Hyderabad,2024-12-03 16:55:00,2024-12-03 18:25:00,90,0,No Info,3175
Indigo,2019-05-06,Bangalore,Delhi,2024-12-03 13:00:00,2024-12-03 15:50:00,170,0,No Info,3943
Jet Airways,2019-03-01,Bangalore,Delhi,2024-12-03 07:00:00,2024-12-03 12:25:00,325,1,No Info,26890
Multiple Carriers,2019-03-21,Delhi,Cochin,2024-12-03 18:15:00,2024-03-22 01:35:00,440,1,No Info,13542
Air India,2019-05-21,Delhi,Cochin,2024-12-03 14:05:00,2024-12-03 17:55:00,230,0,No Info,6094
Jet Airways,2019-03-27,Delhi,Cochin,2024-12-03 08:00:00,2024-03-28 04:25:00,1225,1,No Info,12452
Indigo,2019-03-21,Bangalore,Delhi,2024-12-03 04:00:00,2024-12-03 06:50:00,170,0,No Info,4777
Multiple Carriers,2019-05-21,Delhi,Cochin,2024-12-03 08:00:00,2024-12-03 19:00:00,660,1,No Info,10197
Indigo,2019-04-15,Bangalore,Delhi,2024-12-03 13:00:00,2024-12-03 15:50:00,170,0,No Info,4591
Jet Airways,2019-06-09,Delhi,Cochin,2024-12-03 05:30:00,2024-12-03 19:00:00,810,2,No Info,13014
Air India,2019-03-27,Delhi,Cochin,2024-12-03 21:00:00,2024-03-28 19:15:00,1335,1,No Info,6692
Jet Airways,2019-05-01,Delhi,Cochin,2024-12-03 19:10:00,2024-05-02 19:00:00,1430,2,No Info,15129
Multiple Carriers,2019-06-24,Delhi,Cochin,2024-12-03 11:25:00,2024-12-03 19:15:00,470,1,No Info,7155
Indigo,2019-06-24,Mumbai,Hyderabad,2024-12-03 21:20:00,2024-12-03 22:50:00,90,0,No Info,2227
Jet Airways,2019-03-15,Mumbai,Hyderabad,2024-12-03 10:20:00,2024-12-03 11:50:00,90,0,In-flight meal not included,4160
Jet Airways,2019-05-21,Kolkata,Bangalore,2024-12-03 16:30:00,2024-05-22 04:40:00,730,1,No Info,14388
Jet Airways,2019-05-06,Delhi,Cochin,2024-12-03 09:40:00,2024-05-07 12:35:00,1615,2,No Info,15129
Indigo,2019-04-06,Bangalore,Delhi,2024-12-03 18:25:00,2024-12-03 21:20:00,175,0,No Info,4823
Jet Airways,2019-06-15,Delhi,Cochin,2024-12-03 02:15:00,2024-06-16 04:25:00,1570,1,In-flight meal not included,10262
Spicejet,2019-05-21,Delhi,Cochin,2024-12-03 17:55:00,2024-12-03 22:50:00,295,1,No Info,5975
Air India,2019-03-15,Bangalore,Delhi,2024-12-03 06:45:00,2024-12-03 12:15:00,330,1,No Info,8714
Jet Airways,2019-05-21,Kolkata,Bangalore,2024-12-03 14:05:00,2024-12-03 19:50:00,345,1,In-flight meal not included,10844
Vistara,2019-05-12,Kolkata,Bangalore,2024-12-03 20:20:00,2024-05-13 09:05:00,765,1,No Info,9397
Jet Airways,2019-05-21,Delhi,Cochin,2024-12-03 02:15:00,2024-12-03 19:00:00,1005,1,No Info,16079
Air India,2019-06-12,Delhi,Cochin,2024-12-03 16:55:00,2024-06-13 19:15:00,1580,2,No Info,13381
Air India,2019-05-09,Delhi,Cochin,2024-12-03 05:10:00,2024-12-03 08:00:00,170,0,No Info,5201
Jet Airways,2019-03-09,Delhi,Cochin,2024-12-03 00:20:00,2024-03-10 04:25:00,1685,1,No Info,15029
Air Asia,2019-05-18,Delhi,Cochin,2024-12-03 07:55:00,2024-12-03 22:25:00,870,1,No Info,7452
Indigo,2019-04-06,Kolkata,Bangalore,2024-12-03 09:35:00,2024-12-03 12:20:00,165,0,No Info,4174
Indigo,2019-03-24,Kolkata,Bangalore,2024-12-03 11:55:00,2024-12-03 16:25:00,270,1,No Info,9806
Jet Airways,2019-06-03,Delhi,Cochin,2024-12-03 19:15:00,2024-06-04 04:25:00,550,1,In-flight meal not included,10262
Air India,2019-03-21,Delhi,Cochin,2024-12-03 08:00:00,2024-12-03 19:15:00,675,1,No Info,7199
Indigo,2019-04-01,Bangalore,Delhi,2024-12-03 04:00:00,2024-12-03 06:50:00,170,0,No Info,3943
Jet Airways,2019-06-06,Kolkata,Bangalore,2024-12-03 06:30:00,2024-12-03 16:20:00,590,1,No Info,14571
Jet Airways,2019-05-12,Delhi,Cochin,2024-12-03 11:00:00,2024-12-03 14:15:00,195,0,No Info,9564
Jet Airways,2019-04-21,Bangalore,Delhi,2024-12-03 17:45:00,2024-12-03 20:45:00,180,0,In-flight meal not included,4544
Jet Airways,2019-05-21,Kolkata,Bangalore,2024-12-03 06:30:00,2024-05-22 07:25:00,1495,2,In-flight meal not included,10118
Multiple Carriers,2019-06-03,Delhi,Cochin,2024-12-03 10:20:00,2024-06-04 01:30:00,910,1,No Info,6795
Multiple Carriers,2019-03-06,Delhi,Cochin,2024-12-03 06:00:00,2024-12-03 19:15:00,795,1,No Info,15353
Jet Airways,2019-05-18,Kolkata,Bangalore,2024-12-03 05:45:00,2024-05-19 08:15:00,1590,1,No Info,13941
Air India,2019-06-09,Kolkata,Bangalore,2024-12-03 09:50:00,2024-06-10 12:30:00,1600,2,No Info,14960
Indigo,2019-05-21,Chennai,Kolkata,2024-12-03 22:05:00,2024-05-22 00:25:00,140,0,No Info,5277
Jet Airways,2019-03-15,Bangalore,Delhi,2024-12-03 08:00:00,2024-12-03 15:15:00,435,1,In-flight meal not included,9134
Indigo,2019-03-24,Bangalore,Delhi,2024-12-03 22:20:00,2024-03-22 01:10:00,170,0,No Info,3897
Multiple Carriers,2019-06-09,Delhi,Cochin,2024-12-03 03:50:00,2024-12-03 11:30:00,460,1,No Info,7408
Air India,2019-05-24,Mumbai,Hyderabad,2024-12-03 06:20:00,2024-12-03 07:40:00,80,0,No Info,3100
Air Asia,2019-04-27,Bangalore,Delhi,2024-12-03 11:10:00,2024-12-03 13:55:00,165,0,No Info,4483
Jet Airways,2019-03-09,Delhi,Cochin,2024-12-03 00:20:00,2024-03-10 04:25:00,1685,1,In-flight meal not included,11848
Air Asia,2019-03-27,Delhi,Cochin,2024-12-03 20:10:00,2024-03-28 07:10:00,660,1,No Info,6151
Spicejet,2019-03-27,Kolkata,Bangalore,2024-12-03 09:00:00,2024-12-03 11:30:00,150,0,No Info,3847
Jet Airways,2019-06-09,Delhi,Cochin,2024-12-03 18:15:00,2024-06-10 19:00:00,1485,1,In-flight meal not included,10577
Indigo,2019-05-15,Kolkata,Bangalore,2024-12-03 22:15:00,2024-05-16 00:50:00,155,0,No Info,4804
Indigo,2019-06-15,Kolkata,Bangalore,2024-12-03 21:25:00,2024-06-16 00:05:00,160,0,No Info,4804
Jet Airways,2019-03-06,Bangalore,Delhi,2024-12-03 08:00:00,2024-12-03 20:20:00,740,1,No Info,16736
Multiple Carriers,2019-06-06,Delhi,Cochin,2024-12-03 12:50:00,2024-12-03 21:00:00,490,1,No Info,7005
Jet Airways,2019-03-21,Bangalore,Delhi,2024-12-03 09:45:00,2024-12-03 14:25:00,280,1,In-flight meal not included,7280
Jet Airways,2019-06-09,Kolkata,Bangalore,2024-12-03 06:30:00,2024-12-03 16:20:00,590,1,No Info,14571
Air India,2019-05-21,Delhi,Cochin,2024-12-03 13:05:00,2024-05-22 09:25:00,1220,2,No Info,10467
Multiple Carriers,2019-03-21,Delhi,Cochin,2024-12-03 08:25:00,2024-12-03 18:50:00,625,1,No Info,13069
Multiple Carriers,2019-06-06,Delhi,Cochin,2024-12-03 12:50:00,2024-06-07 01:30:00,760,1,No Info,6795
Jet Airways,2019-05-06,Kolkata,Bangalore,2024-12-03 09:35:00,2024-05-07 09:45:00,1450,1,No Info,10953
Air India,2019-05-18,Delhi,Cochin,2024-12-03 05:00:00,2024-05-19 07:40:00,1600,2,No Info,11228
Indigo,2019-05-24,Bangalore,Delhi,2024-12-03 07:10:00,2024-12-03 10:05:00,175,0,No Info,4823
Air India,2019-05-24,Kolkata,Bangalore,2024-12-03 09:50:00,2024-05-25 12:30:00,1600,2,No Info,15170
Indigo,2019-04-06,Kolkata,Bangalore,2024-12-03 22:15:00,2024-04-07 00:50:00,155,0,No Info,4174
Indigo,2019-03-09,Delhi,Cochin,2024-12-03 15:00:00,2024-03-10 01:35:00,635,1,No Info,13611
Multiple Carriers,2019-05-01,Delhi,Cochin,2024-12-03 09:00:00,2024-12-03 19:15:00,615,1,No Info,15373
Jet Airways,2019-03-12,Bangalore,Delhi,2024-12-03 22:55:00,2024-03-13 11:25:00,750,1,No Info,13817
Goair,2019-05-12,Kolkata,Bangalore,2024-12-03 16:40:00,2024-05-13 00:15:00,455,1,No Info,8855
Air India,2019-06-09,Kolkata,Bangalore,2024-12-03 07:00:00,2024-06-10 01:20:00,1100,2,No Info,13033
Air India,2019-06-21,Mumbai,Hyderabad,2024-12-03 13:55:00,2024-12-03 15:25:00,90,0,No Info,3100
Jet Airways,2019-06-01,Delhi,Cochin,2024-12-03 14:00:00,2024-06-02 12:35:00,1355,1,In-flight meal not included,10262
Jet Airways,2019-05-01,Bangalore,Delhi,2024-12-03 18:55:00,2024-12-03 22:00:00,185,0,In-flight meal not included,4030
Multiple Carriers,2019-06-24,Delhi,Cochin,2024-12-03 03:50:00,2024-12-03 19:00:00,910,1,No Info,12192
Indigo,2019-03-15,Bangalore,Delhi,2024-12-03 16:50:00,2024-12-03 21:35:00,285,1,No Info,10406
Indigo,2019-06-27,Delhi,Cochin,2024-12-03 11:25:00,2024-06-28 01:30:00,845,1,No Info,5684
Spicejet,2019-03-24,Chennai,Kolkata,2024-12-03 09:30:00,2024-12-03 12:05:00,155,0,No check-in baggage included,3807
Jet Airways,2019-06-24,Delhi,Cochin,2024-12-03 15:00:00,2024-06-25 19:00:00,1680,1,In-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Bangalore,2024-12-03 08:25:00,2024-12-03 22:35:00,850,1,No Info,14781
Air India,2019-03-06,Delhi,Cochin,2024-12-03 05:55:00,2024-12-03 19:15:00,800,2,No Info,13748
Spicejet,2019-04-27,Bangalore,Delhi,2024-12-03 09:30:00,2024-12-03 12:20:00,170,0,No check-in baggage included,4885
Indigo,2019-06-12,Mumbai,Hyderabad,2024-12-03 19:05:00,2024-12-03 20:35:00,90,0,No Info,2754
Jet Airways,2019-03-09,Bangalore,Delhi,2024-12-03 08:00:00,2024-03-13 09:30:00,1530,1,In-flight meal not included,11087
Air India,2019-05-15,Kolkata,Bangalore,2024-12-03 14:35:00,2024-05-16 14:35:00,1440,1,No Info,6528
Goair,2019-04-03,Delhi,Cochin,2024-12-03 07:25:00,2024-12-03 13:35:00,370,1,No Info,4106
Jet Airways,2019-06-15,Bangalore,Delhi,2024-12-03 17:45:00,2024-12-03 20:45:00,180,0,No Info,8016
Air India,2019-03-24,Kolkata,Bangalore,2024-12-03 12:00:00,2024-03-25 13:40:00,1540,1,No Info,7742
Jet Airways,2019-06-24,Bangalore,Delhi,2024-12-03 15:15:00,2024-12-03 18:10:00,175,0,In-flight meal not included,5769
Air India,2019-06-21,Chennai,Kolkata,2024-12-03 11:40:00,2024-12-03 13:55:00,135,0,No Info,4667
Indigo,2019-06-09,Delhi,Cochin,2024-12-03 10:35:00,2024-12-03 21:00:00,625,1,No Info,6314
Multiple Carriers,2019-05-18,Delhi,Cochin,2024-12-03 13:00:00,2024-05-19 01:30:00,750,1,No Info,9385
Multiple Carriers,2019-06-06,Delhi,Cochin,2024-12-03 07:30:00,2024-12-03 19:15:00,705,1,No Info,7354
Multiple Carriers,2019-06-12,Delhi,Cochin,2024-12-03 10:00:00,2024-12-03 19:00:00,540,1,No Info,12192
Jet Airways,2019-03-18,Mumbai,Hyderabad,2024-12-03 15:50:00,2024-12-03 17:20:00,90,0,No Info,5678
Air India,2019-05-21,Kolkata,Bangalore,2024-12-03 12:00:00,2024-05-22 07:55:00,1195,2,No Info,10676
Indigo,2019-05-01,Kolkata,Bangalore,2024-12-03 19:35:00,2024-12-03 23:15:00,220,1,No Info,4226
Jet Airways,2019-06-12,Kolkata,Bangalore,2024-12-03 14:05:00,2024-06-13 04:40:00,875,1,No Info,12739
Indigo,2019-03-27,Chennai,Kolkata,2024-12-03 07:55:00,2024-12-03 10:15:00,140,0,No Info,3384
Multiple Carriers,2019-06-12,Delhi,Cochin,2024-12-03 10:20:00,2024-12-03 19:15:00,535,1,No Info,8266
Jet Airways,2019-05-21,Delhi,Cochin,2024-12-03 23:05:00,2024-05-22 19:00:00,1195,2,No Info,15129
Jet Airways,2019-06-06,Kolkata,Bangalore,2024-12-03 08:25:00,2024-12-03 16:20:00,475,1,No Info,14571
Vistara,2019-03-15,Bangalore,Delhi,2024-12-03 09:50:00,2024-12-03 12:35:00,165,0,No Info,6138
Jet Airways,2019-03-27,Delhi,Cochin,2024-12-03 19:45:00,2024-03-28 04:25:00,520,1,In-flight meal not included,6540
Jet Airways,2019-06-24,Delhi,Cochin,2024-12-03 20:00:00,2024-06-25 04:25:00,505,2,No Info,14300
Jet Airways,2019-05-21,Kolkata,Bangalore,2024-12-03 16:30:00,2024-05-22 04:40:00,730,1,In-flight meal not included,9663
Jet Airways,2019-06-18,Bangalore,Delhi,2024-12-03 06:00:00,2024-12-03 08:45:00,165,0,In-flight meal not included,6478
Multiple Carriers,2019-06-27,Delhi,Cochin,2024-12-03 08:45:00,2024-12-03 19:15:00,630,1,No Info,8266
Indigo,2019-06-24,Bangalore,Delhi,2024-12-03 16:55:00,2024-12-03 19:55:00,180,0,No Info,4823
Jet Airways,2019-05-09,Kolkata,Bangalore,2024-12-03 06:30:00,2024-12-03 19:50:00,800,1,No Info,14781
Multiple Carriers,2019-03-27,Delhi,Cochin,2024-12-03 11:40:00,2024-12-03 21:00:00,560,1,No Info,6637
Multiple Carriers,2019-06-03,Delhi,Cochin,2024-12-03 07:00:00,2024-12-03 19:00:00,720,1,No Info,12402
Jet Airways,2019-05-12,Kolkata,Bangalore,2024-12-03 20:25:00,2024-05-13 14:25:00,1080,1,No Info,13067
